number,Title,Description,category,priority,resolver_team,Where I got the ticket from,hardness
411,How can I display all users and groups with a command?,"I want to display:
All users and
All groups
in my system using command-line.
users
and
groups
commands display users currently logged in, and groups a user belongs to respectively.
How to display a list of all users and all groups by command-line?",user accounts,,system support,askubuntu,
412,How to simply convert video files (i.e.: MKV to MP4)?,"I simply want to convert files, any format to any format (at the moment, I need to convert MKV to MP4-h264), without losing quality. I don't want to resize (scale) the video, I don't want to change its aspect ratio and I don't want it to lose quality (this is very important); all I want is ""to change the format"", that's all. Reason: my DVD player won't recognize any formats other than AVI or MP4. I don't care about file size, unless the difference between the input and the output files is absurdly huge. So, how do I do that?
I've already tried programs such as WinFF, Arista, Format Junkie, but their presets always change something which I don't want to be changed (size, aspec ratio, etc.). I'm not really sure, but I think the best way to get what I want is to go with the pure ffmpeg commands. But how?
By the way, Ubuntu 13.04 (64-bit), here. Thanks for your time, guys.",general usage,,general support,askubuntu,
413,Do I need to have antivirus software installed?,"I thought that there was no need to scan for viruses either in Ubuntu or any Linux distros until I found virus scanner packages
clamtk
and
klamav
in Ubuntu software center yesterday.
This leads to the following questions:
How do viruses differ between Linux and Windows?
How do the strategies for protection differ between Linux and Windows?
Should a virus scanner package be installed on my system? If so, which would be a better option?",general usage,,general support,askubuntu,
414,What is the difference between Vi and Vim?,"I would appreciate it if someone can let a newbie know what the differences are between
vi
and
vim
. I've heard Vim is a successor to
vi
but whenever I try to open
vi
in Ubuntu it opens
vim
instead.",general usage,,general support,askubuntu,
415,How do I enable or disable Apport?,"The system crash dialog is annoying me, how can I turn it off? I'd also like to know how to turn it back on just in case I need it to report a problem.",system settings,,desktop support,askubuntu,
416,How can I shorten my command line (bash) prompt?,"Currently it is:
michael@Castle2012-Ubuntu-laptop01:~/Dropnot/webs/rails_v3/linker/spec/controllers$
Outside of renaming my machine and directory structure...
How could I make it be something more like:
michael:controllers$",general usage,,general support,askubuntu,
417,"What are the differences between snaps, appimage, flatpak and others?","I have been getting this question lately from students and although I have a lot of information to offer, I have not found a source that I can point people to where they can read an update answer (I have found a lot of misinformation and obsolete information). So, some of the questions I have for package formats like snap, appimage, flatpak and others in this evolution of universal packaging systems are:
Who created the package format?
What features does it offer?
What features are unique to it? (That the others do not yet have)
Who supports it?
What Distributions use it?
What focus does the package have? (For Desktop, Clouds, Mobile, etc..)
Which are more actively developed?",package management,,system support,askubuntu,
418,"sudo apt update error: ""Release file is not yet valid""","I keep getting this error every time I try to
sudo apt update
:
Hit:1 ubuntu bionic InRelease
Ign:3 linux/chrome/deb stable InRelease                   
Get:2 /ubuntu bionic-updates InRelease [88.7 kB]   
Get:5 /linux/chrome/deb stable Release [943 B]             
Get:6 http://dl.google.com/linux/chrome/deb stable Release.gpg [819 B]         
Get:4 http://us.archive.ubuntu.com/ubuntu bionic-backports InRelease [74.6 kB] 
Get:7 http://security.ubuntu.com/ubuntu bionic-security InRelease [83.2 kB]    
Reading package lists... Done                                 
E: Release file for http://dl.google.com/linux/chrome/deb/dists/stable/Release is not valid yet (invalid for another 2h 45min 28s). Updates for this repository will not be applied.
E: Release file for http://us.archive.ubuntu.com/ubuntu/dists/bionic-updates/InRelease is not valid yet (invalid for another 4h 34min 33s). Updates for this repository will not be applied.
E: Release file for http://us.archive.ubuntu.com/ubuntu/dists/bionic-backports/InRelease is not valid yet (invalid for another 1h 22min 16s). Updates for this repository will not be applied.
E: Release file for http://security.ubuntu.com/ubuntu/dists/bionic-security/InRelease is not valid yet (invalid for another 4h 32min 36s).
Updates for this repository will not be applied.
I've reset my timezone to UTC, but that didn't work.
I also found a different answer where they said I should try
sudo apt-get -o Acquire::Check-Valid-Until=false update
but that didn't work either.
I got the same error both times.",package management,,system support,askubuntu,
419,Screen Resolution Problem with Ubuntu 14.04 and VirtualBox,"Environment: Lenovo T530 running Windows 7.  Have installed Ubuntu 14.04 on a virtual machine using VM Virtual Box.  Have installed all the updates from both Virtual Box and Ubuntu.
Problem: While in Ubuntu's desktop and other Ubuntu initiated programs, the window is reduced to about 3x4 inches showing in the middle of the rest of my regular Virtual Box window.  I am seeing only the upper right hand of the screen output of what I would normally see.
I've seen
How do I install Guest Additions in a VirtualBox VM?
But, none of these answers works in 14.04.",general usage,,general support,askubuntu,
420,How to change Gnome-Terminal title?,"I have several instances of terminals running in my working environment, what I would like is to set a specific title for each one, in order to have a clear idea what purpose the specific terminal serves i.e. Apache, editing_ini, postgres etc...
Of course from the command line.",system settings,,desktop support,askubuntu,
421,What is the command to update time and date from internet,What is the command to update time and date from Internet? Is there any application that allows me to do so from its user interface rather than from the shell?,system settings,,desktop support,askubuntu,
422,"Bash history search, partial + up-arrow","I have searched, but not found anything on this. I am looking for a functionality in bash, using a terminal.
Way back when, I had a user on a debian system, and a friend set me up with a convenient history search feature (I believe I used tcsh then), where I would type the beginning of a previous command, hit up-arrow, and it would do a search, based on the partial string.
E.g. if my history is:
./script.pl
./script.pl arg1
cat output
cat output | grep yada
And I type
.
, and press up-arrow, it would show me:
./script.pl arg1
. Press it again and it would show
./script.pl
, etc.
Very much like it would perform a
grep
on .bash_history. Is there a way to get this functionality?",general usage,,general support,askubuntu,
423,How to find all files with the same extension within a directory,"I want to search for all
.conf
files in
/etc/
.
I tried
grep -r *.conf /etc
, but the result isn't right.
What am I doing wrong?",general usage,,general support,askubuntu,
424,How can I make a script that opens terminal windows and executes commands in them?,"I have three scripts I need to run when I start up my Ubuntu machine, they start services I use in my development environment.
To do that, I manually open three terminals and type in the commands.
Is there any way to create a script that will open three terminals and execute one command in each of these? (Each command should be in a separate terminal window so I can see their output).",general usage,,general support,askubuntu,
425,"How can I get apt to use a mirror close to me, or choose a faster mirror?","Downloading from the main Ubuntu archive is slow even when it's not release day, how can I get apt-get to automatically use a mirror that is close to me?",package management,,system support,askubuntu,
426,How to move multiple files at once to a specific destination directory?,"I got a bunch of files in some directory (along with many other files) that I want to move.
Luckily, all the files I want to move contain a certain identifier in their names, so I can
ls | grep IDENTIFIER
to get the exact list of files to move.
But, how can I execute
mv file /path/to/dest/folder/
at once, and not one by one (there's a lot of files to move)?",general usage,,general support,askubuntu,
427,What is the Linux equivalent to Windows' Program Files?,"Under Windows, most applications and application data are stored in a special directory known as
C:\Program Files
(and occasionally
C:\Program Files (x86)
). What is the Ubuntu/Linux equivalent to this path? Is there even one?",general usage,,general support,askubuntu,
428,How do I install different (upgrade or downgrade) PHP version in still supported Ubuntu release?,"I am trying to update to install PHP 5.5, 5.6 or 7.0 in Ubuntu 12.04/14.04/16.04 LTS, and I can only get PHP 5.3.10 for Ubuntu 12.04, PHP 5.5.9 for Ubuntu 14.04 or PHP 7.0.4 for Ubuntu 16.04 using official repositories (using apt-get).
I'm not really sure how to do a manual update – as I need:
to play around with the new(est) PHP features
to install older PHP version due support in the software",package management,,system support,askubuntu,
429,"What is difference between the options ""autoclean"", ""autoremove"" and ""clean""?","apt-get
has a few options which looks the same to me:
autoclean
,
autoremove
and
clean
. What do each of them do?",package management,,system support,askubuntu,
430,How do I override or configure systemd services?,"Many sysv init scripts used a corresponding file in
/etc/default
to allow the administrator to configure it. Upstart jobs can be modified using
.override
files. How do I override or configure systemd units, now that systemd is the default in Ubuntu?",system settings,,desktop support,askubuntu,
431,Can I directly download audio using youtube-dl?,"Can I
directly
download audio from a YouTube video instead of first downloading audio+video and then extracting the audio?",general usage,,general support,askubuntu,
432,kill a screen session,"I'm trying to kill a screen session. I noticed a lot of other related questions, but none of those answers are working for me. I am trying to kill the following session:
screen -ls
There is a screen on:
    23520.pts-6.porkypig    (09/30/2013 02:49:47 PM)    (Detached)
1 Socket in /var/run/screen/S-root.

screen -r 23520.pts-6.porkypig
Now I am in the session. According to the documentation:
http://www.gnu.org/software/screen/manual/screen.html#Quit
I am supposed to press ""control a"" and then ""control \"". I do that and nothing happens.
Another solution said to  press
Ctrl
+
a
and type :quit. However, again it doesn't do anything. In fact, pressing
control
+
a
, absolutely nothing happens afterwards except a message ""No Other Window""",general usage,,general support,askubuntu,
433,Detect and mount devices,"I upgraded Ubuntu today and everything works smooth except that Ubuntu doesn't detect any other storage devices. My
/
and
/home
partitions work fine, but my other partitions are just not detected. I wouldn't mind, except the same problem goes with USB sticks.
When I plug in a USB stick, the light goes on, but the computer detects nothing. Just to be clear, my mouse and keyboard are connected via USB and work fine.
Any idea how to solve this issue? None of the suggestions I found on the internet have any effect.",hardware,,hardware support,askubuntu,
434,How do I install the Firefox Developer Edition?,"Mozilla released the Firefox Developer Edition! How do I install it on Ubuntu?
Source:
Mozilla Releases 'Firefox Developer Edition' for Windows, Mac and Linux - OMG! Ubuntu!",general usage,,general support,askubuntu,
435,Create encrypted (password protected) zip file,How do I create an encrypted (password protected) zip file?,general usage,,general support,askubuntu,
436,How to find the number of CPU cores including virtual?,"How do I find out the number of cores my CPU has, including virtual cores (hyper threading cores) using the command line?",general usage,,general support,askubuntu,
437,Why doesn't `sudo cd /var/named` work?,"I want to
cd
into
/var/named
but it gives me a permission denied error, and when I want to use
sudo
to do this I am not permitted. What is the technical reason for this, and is it possible to do this some other way?",user accounts,,system support,askubuntu,
438,What can I do if a repository/PPA does not have a Release file?,"When updating, I get the following error message:
W: The repository 'http://ppa.launchpad.net/mc3man/trusty-media/ubuntu xenial Release' does not have a Release file.
Here, I find another statement on this error:
How can I fix a 404 Error when using a PPA or updating my package lists?
This recommends removing certain PPAs; and, I'm not sure if I should do that since it might mean not getting the updates that I need.
Is this what I should do?",package management,,system support,askubuntu,
439,Missing System Settings after removing some packages,"I installed or uninstalled some packages. I do not even remember what I was doing. As a result, now I can't see most of the system settings in settings window. 
Any idea how to solve this problem.
When I hover mouse over the window title, it shows 'Unknown Application name'
I must have removed something, not sure what :-)",system settings,,desktop support,askubuntu,
440,How to install the latest versions of NodeJS and NPM?,"I noticed over at the
https://nodejs.org/
website that node is currently at v 0.12.0.
Can someone let me know how to install the latest version of node together with npm (terminal commands please)?",general usage,,general support,askubuntu,
441,Why is Ubuntu moving to Snap packages?,"Why Ubuntu dumping
.deb
packages and moving to
.snap
packages?
At least for now they are keeping
.deb
package for normal distributions.
.deb
is already the most popular packaging format out there.
This
gives an idea about what the Snap package format is. But what will happen to the existing deb packages? Is there any clear advantage on moving to Snap? Is it worth the pain?",package management,,system support,askubuntu,
442,WSL: Am I running version 1 or version 2?,"I have
Windows Subsystem for Linux
, but I don't know which version I have, and many things won't work in version 1. How do I check my version?",general usage,,general support,askubuntu,
443,What is the best way to uninstall nginx,"I'm trying to add new module to nginx with naxsi, but I should reinstall nginx. What is the better way of removing nginx?",networking,,network support,askubuntu,
444,How do I create a desktop wallpaper slideshow?,"How do  I create a desktop wallpaper slideshow with my own set of images?
With the images coming from a pictures folder, or pre-selected
With the images displayed in order, or randomly
With the images changing every few minutes, or after random periods of time",system settings,,desktop support,askubuntu,
445,How can I install a package without root access?,"I have
no root access
on this machine.
I would like to know if there is a way I
can download Ubuntu packages and install them as non-root?
Probably in my
~/bin
or
~/usr/share
or something like that? Would that work?",package management,,system support,askubuntu,
446,Is there a way to create multiple directories at once with mkdir?,If I wanted to create multiple directories (on the same level) and then feed it a comma seperated list of directory names (or something to that effect)?,general usage,,general support,askubuntu,
447,How do I restore the default repositories?,"There are now errors when updating and I cannot install most software due to a corrupted
/etc/apt/sources.list
file. Is there a copy I can download to replace it?
The file would be for Ubuntu 12.04 (Final Beta) in the United States.",package management,,system support,askubuntu,
448,How to make a disk image and restore from it later?,"I'm a new Linux user. I've reinstalled my Wubi from scratch
at least ten times
the last few weeks because while getting the system up and running (drivers,
resolution
, etc.) I've broken something (X, grub, unknowns) and I can't get it back to work. Especially for a newbie like me, it's easier (and much faster) to just reinstall the whole shebang than try to troubleshoot several layers of failed ""fixing"" attempts.
Coming from Windows, I expect that there is some ""disk image"" utility that I can run to make a snapshot of my Linux install (and of the boot partition!!) before I meddle with stuff. Then, after I've foobar'ed my machine, I would somehow restore my machine back to that working snapshot.
What's the Linux equivalent of Windows disk imagers like
Acronis True Image
or
Norton Ghost
?
Note: I found a similar question:
Easy backup/restore of installed system?",system settings,,desktop support,askubuntu,
449,How to change visudo editor from nano to vim?,"When I use
visudo
, it always opens it with
nano
editor. How to change the editor to vim?",general usage,,general support,askubuntu,
450,How do I scan for viruses with ClamAV?,"I installed
ClamAV
via Terminal (
Ctrl
+
Alt
+
T
) with:
sudo apt-get install clamav
but how can I scan for viruses?",general usage,,general support,askubuntu,
451,"Unable to update ""Snap Store"": cannot refresh ""snap-store"": snap ""snap-store"" has running apps (ubuntu-software)","I am a new Ubuntu 22.04 user who is facing an issue with the Snap
Store. Whenever I try to update the Snap Store I can see these error messages.
Pending update of ""snap-store"" snap 
Close the app to avoid disruptions (13 days left)
Unable to update ""Snap Store"": 
(null): cannot refresh ""snap-store"": snap ""snap-store"" has 
running apps (ubuntu-software)",package management,,system support,askubuntu,
452,Is there a GUI client for Git?,"I am using
git
for version control of various projects.
Is there GUI software for navigating through commits and branches of a project and for retrieving versions in git projects?",general usage,,general support,askubuntu,
453,Copying multiple specific files from one folder to another,"I have a large folder of pictures (thousands), and I have a long list of files, by exact file name, that I need to copy to another folder. I want to know if there is a way I can select several specific files from this folder, by name, and copy them to another folder, using the terminal, without copying them individually?",general usage,,general support,askubuntu,
454,How can I get mv (or the * wildcard) to move hidden files?,"I am migrating my home directory from an old system to a new one, and the tarball I made contains everything, including hidden files like .bashrc. However, when I move the contents of the unpacked tarball (which are in /tmp) to my new home directory, the hidden files do not copy (
mv /tmp/home/rcook/* /home/rcook/
). How can I get mv to move them?
Actually, I think the problem is not with mv, but with bash's globbing. If I do this:
mkdir a
mkdir b
touch a/.foo
touch a/bar
mv a/* b/
ls -a a/ b/
I see this:
a/:
.  ..  .foo

b/:
.  ..  bar
a/.foo
did not move. So how can I get the * wildcard to find hidden files?
Yes, I suppose I could decompress the tarball directly into my home directory, but the tarball decompresses into
home/rcook/...
, and I want to be sure I overwrite the new
.bashrc
, etc. with the old, customized versions, and knowing how to find and move hidden files is a worthwhile skill. Suggestions?
Some answers suggest doing something like
mv src/.* dest/
. However, I tried this on my test directories and got errors. Starting with:
rcook$ ls -a a/ b/
a/:
.  ..  bar  .foo

b/:
.  ..
rcook$ mv a/.* b/
mv: cannot move 'a/.' to 'b/.': Device or resource busy
mv: cannot remove 'a/..': Is a directory
rcook$ ls -a a/ b/
a/:
.  ..  bar

b/:
.  ..  .foo
What am I doing wrong?",general usage,,general support,askubuntu,
455,How to change LCD brightness from command line (or via script)?,"To work around
bug #1005495
(changing LCD brightness via hotkeys impossible), I'd like to have one command line query for increasing and one for reducing the brightness of my LCD. I could then map a hotkey to each one of this queries.
The problem is: I don't know how to increase and reduce the LCD brightness on the command line. Do you?",system settings,,desktop support,askubuntu,
456,"How to fix ""sudo: unable to open ... Read-only file system""?","The title might not be as descriptive as I would like it to be but couldn't come up with a better one.
My server's file system went into Read-only. And I don't understand why it does so and how to solve it.
I can SSH into the server and when trying to start apache2 for example I get the following :
username@srv1:~$ sudo service apache2 start
[sudo] password for username:
sudo: unable to open /var/lib/sudo/username/1: Read-only file system
 * Starting web server apache2                                                                                                                                                                                                               (30)Read-only file system: apache2: could not open error log file /var/log/apache2/error.log.
Unable to open logs
Action 'start' failed.
The Apache error log may have more information.
When I try restarting the server I get :
username@srv1:~$ sudo shutdown -r now
[sudo] password for username:
sudo: unable to open /var/lib/sudo/username/1: Read-only file system
Once I restart it manually it just start up without any warning or message saying something is wrong.
I hope somebody could point me into the right direction to resolve this issue.",general usage,,general support,askubuntu,
457,How do I add swap after system installation?,"I did not create a swap partition during Ubuntu installation.  Later, I freed up some space and made a swap partition.  Now after each boot up, I am manually opening
gparted
to right-click the swap partition to turn on the 'swapon' option.
How can I automatically enable the swap partition at boot?
Also, if I had not created the swap partition, what are my other options?",general usage,,general support,askubuntu,
458,Why is it bad to log in as root?,"I've often come across posts on forums or other websites where you see people joking in such a manner about running/logging in as root as if it's something awful and
everyone
ought to know about it. However, there isn't much that a search reveals on the matter.
It may be widely known to Linux experts, but I really don't know why. I remember always running as root when I first tried Linux years ago (Redhat and Mandrake) and don't remember running into any problems because of that.
There are actually some distros that have a bright red background with alert signs all over it as wallpaper for the root user (SuSe?). I still use the ""Administrator"" account for regular use on my Windows installation and haven't ever run into any problems there either.",user accounts,,system support,askubuntu,
459,How can I set up PyCharm to launch from the Launcher?,"I have installed PyCharm on my brand new Ubuntu 13.10 laptop.
To launch PyCharm, I find I must navigate to the directory that pycharm lives in, and execute it from there as such:
cd home/matt/software/pycharm/bin sh pycharm.sh
I hope this isn't asking too much, but I would like to be able to click on an icon in the Launcher to launch this application.
I tried right-clicking on the PyCharm icon in the Launcher when the app is running and selecting ""Lock To Launcher"" but this doesn't work (after pinning, when I try to run the software this way, the icon throbs in a very awkward manner a few times and does nothing).
A small app called Alacart was rumoured to be useful, but I have no idea how it works, and it appears useless.  I'm not sure why the authors teased us with a ""Help"" button if there are no help files written for us to view.
Further attempt has included reading page after page of technical documentation on how to write scripts that will somehow help me customize my experience.
How can I set up PyCharm to launch from the Launcher???",system settings,,desktop support,askubuntu,
460,Find the correct php.ini file,"I am currently trying to locate the correct php.ini file to edit it and restart apache so the changes will take place and I'm stumped.
I have found three different php.ini files (no idea why there are three)
 this is how I found the files
$ sudo find / -name php.ini
/etc/php5/cli/php.ini
/etc/php5/apache2/php.ini
/etc/php5/cgi/php.ini
I also did....
$ sudo php -i | grep 'Configuration File'
Configuration File (php.ini) Path => /etc/php5/cli
Loaded Configuration File => /etc/php5/cli/php.ini
I changed all of them (just to be sure) to the settings I wanted.
I restarted apache using
sudo service apache2 restart
The results...
* Restarting web server apache2
I reloaded the page and it showed that the php.ini file was not updated.
I know this because I used
echo ini_get('post_max_size');
Which was supposed to be changed to 20M but was still only 2M
I tried rebooting my computer thinking maybe that would stop the apache server and reload the php.ini file with the correct setting, but alas that attempt also failed.
Is there any chance there could be another php.ini file that could be interfering?",general usage,,general support,askubuntu,
461,How do I uninstall a package installed using Snap?,"I used this command to install pwgen:
sudo snap install pwgen-tyhicks
But I can't find out how to use it. So I want to uninstall it. How do I uninstall it?",package management,,system support,askubuntu,
462,How to append tee to a file in Bash?,"These are commands I type in the terminal
echo -e ""First Line"" | tee ~/output.log
echo -e ""Second Line"" | tee ~/output.log
When I look in the file output.log I only see 'Second Line'. How can I make sure that tee appends (rather than wipes out the file)?
I'd like to be able to see this in the file:
First Line
Second Line
Should I be approaching this another way?",general usage,,general support,askubuntu,
463,Is there a lightweight tool to crop images quickly?,"I need to crop images often - photos, printscreens, etc., and loading gimp for such a simple task takes way too long. Can you recommend a faster alternative?",general usage,,general support,askubuntu,
464,No more disk space: How can I find what is taking up the space?,"I've run into a problem on one of my servers running 16.04: there is no disk space left.
I have no idea what is taking up the space. Is there a command to list the current directory sizes, so I can traverse and end up in the directory taking up all the space?",system performance,,system support,askubuntu,
465,How to open a file manager of the current directory in the terminal?,"When I work in terminal, sometimes I want to open the current directory in a GUI file manager.
And then to click the items in the window to run the application. How can I do this?",general usage,,general support,askubuntu,
466,How to split larger files into smaller parts?,"I have a large file (8GB for Example). How can I split it into multiple parts, let's say 3 equal parts, and after that how do I integrate them later?",general usage,,general support,askubuntu,
467,How to connect to WiFi from the command line?,"Other posts seems to be addressing more complicated network connection issues from the command line.
The Unity panel Network indicator/button doesn't respond too well sometimes - it keeps trying to connect to a network even when i click on ""disconnect"", stuff like that.
So I want to go command line for the control.  I don't like GUIs anyway.
Is there not some simple command line tool which can do something like the following?
wifi connect MyNetworkNameA
wifi disconnect
wifi connect MyNetworkNameB",networking,,network support,askubuntu,
468,"Installed Teamviewer using a 64-bit system, but I get a dependency error","I was trying to install Teamviewer, but I was getting a dependency error. I tried to install the required packages, but with no luck.
I'm getting this error:
Unpacking teamviewer (from teamviewer_linux_x64.deb) ...
dpkg: dependency problems prevent configuration of teamviewer:
 teamviewer depends on lib32asound2; however:
  Package lib32asound2 is not installed.
 teamviewer depends on lib32z1; however:
  Package lib32z1 is not installed.
 teamviewer depends on ia32-libs; however:
  Package ia32-libs is not installed.

dpkg: error processing teamviewer (--install):
 dependency problems - leaving unconfigured
Errors were encountered while processing:
 teamviewer
I tried
sudo apt-get -f install
Getting
Package ia32-libs is not available, but is referred to by another package.
This may mean that the package is missing, has been obsoleted, or
is only available from another source
However the following packages replace it:
  lib32z1 lib32ncurses5 lib32bz2-1.0

Package lib32asound2 is not available, but is referred to by another package.
This may mean that the package is missing, has been obsoleted, or
is only available from another source

E: Package 'lib32asound2' has no installation candidate
E: Package 'ia32-libs' has no installation candidate
I can't even get to the
sudo dpkg -i teamviewer_linux_x64.deb
If I force installation
sudo dpkg --force-depends -i teamviewer_linux_x64.deb
Although it's ""Setting up Temviewer"" it gives me this:
How can I fix this problem?",package management,,system support,askubuntu,
469,Why are hard links not allowed for directories?,"I am using Ubuntu 12.04. When I try to create a hard link for any directory, it fails. I can create hard links for files inside file system boundary. I know the reason why we cannot create hardlinks for files beyond file system.
I tried these commands:
$ ln /Some/Directory /home/nischay/Hard-Directory
hard link not allowed for directory
$ sudo ln /Some/Directory /home/nischay/Hard-Directory
[sudo] password for nischay: 
hard link not allowed for directory
I just want to know the reason behind this. Is it same for all GNU/Linux distros and Unix flavours (BSD, Solaris, HP-UX, IBM AIX) or only in Ubuntu or Linux?",general usage,,general support,askubuntu,
470,How to read complete line in 'for' loop with spaces,"I am trying to run a
for
loop for file and I want to display whole line.
But instead its displaying last word only. I want the complete line.
for j in `cat ./file_wget_med`

do
echo $j

done
result after run:
Found.
Here is my data:
$ cat file_wget_med
2013-09-11 14:27:03 ERROR 404: Not Found.",general usage,,general support,askubuntu,
471,BASH script to set environment variables not working,"I have written the following script to set some environment variables when needed:
#!/bin/sh
export BASE=/home/develop/trees
echo $BASE
export PATH=$PATH:$BASE
echo $PATH
Below the command and the results I can see on my terminal: the script runs, but the variables are not set at the end.
~$: ./script.sh
/home/develop/trees
/bin:......:/home/develop/trees
~$: echo $BASE

~$:
What is wrong?",system settings,,desktop support,askubuntu,
472,Is it possible to make writing to .bash_history immediate?,"I often open lots and lots of terminals (right now, I have seven open on this workspace) and I often search
history
with
grep
to find a command I've just written recently, but I don't want to hunt down the terminal and then scroll up and hunt for it.
Sometimes my terminals close without
exit
, and everything I've written in them is lost. Sometimes, I needed something I'd written in a terminal that was killed.
Is there a way to make it so that each terminal writes to
.bash_history
immediately? Or at least once a minute, or something like that?",general usage,,general support,askubuntu,
473,How to customize the Ubuntu Live CD?,"I would like to customize Ubuntu live CD by installing some additional packages. I have followed
the Ubuntu help wiki guide
but it doesn't seem to work. Can anyone provide clear instructions?
I'm not keen to use Remastersys; I'd prefer a manual way.
Customization
Packages that I want to install:
Thunderbird
Samba
SSH
Changes that I need:
Remove Games menu from the Application menu
Firefox shortcut on Desktop
Radiance as the default Theme
Different default Ubuntu Wallpaper
Configuration file changes
I want the panel to be placed at the bottom
I want to paste my Samba configuration file instead of default Samba configuration
I have few Firefox shortcuts and folders I would like to show that in Desktop
Also it will be nice if you say me how to change the icon sets
Recent Updates
I have customized Ubuntu 10.10 with Firefox shortcuts and few folders on desktops. Everything went smooth. But the installer gets crashes after choosing the timezone. How do i fix this issue?
Also setting wallpaper affects the login screen. The wallpaper which I set is displayed on the login screen also. I just want the default one for the login screen.",installation,,installation support,askubuntu,
474,What is the simplest Debian Packaging Guide?,"I went to the Ubuntu wiki but got confused,there were too many ways. Please tell me an easy guide to Debian packaging.",general usage,,general support,askubuntu,
475,"What does this apt error message (""Download is performed unsandboxed as root..."") mean?","I get it after updating in Synaptic Manager
I recently did a clean install of Ubuntu 17.04 from 16.10.
error message:-
W: Download is performed unsandboxed as root as file '/var/cache/apt/archives/partial/samba-libs_2%3a4.5.8+dfsg-0ubuntu0.17.04.1_i386.deb' couldn't be accessed by user '_apt'. - pkgAcquire::Run (13: Permission denied)",package management,,system support,askubuntu,
476,How to change tooltip background color in Unity?,"In a lot of applications the tooltips are just plain ugly (White text on black background, way too much contrast) or even unreadable (black or dark blue text (Hyperlinks) on black background). I want to change the background color of the tooltips to some medium gray or even some yellow or something like that, maybe even something semi-transparent.
Here is a screenshot of Eclipse which displays some source code in a tool tip with black text on black background:
Switching to a different theme (Something other than Ambiance or Radiance) helps but I like Ambiance and I want to keep it. It's just this darn tooltip color which is absolutely unacceptable.
I found several solutions for older Ubuntu versions but they no longer work with Unity in Ubuntu 11.10 because I can't find any function to customize the Ambiance or Radiance theme. So how do I do that in the current Ubuntu version?",general usage,,general support,askubuntu,
477,How to read and write HFS+ journaled external HDD in Ubuntu without access to OS X?,"I have a
HFS+ journaled
external hard-drive and need to be able to write to it on Ubuntu. I don't have access to my Mac, it's thousands of miles away and I won't have access to it for three months.
Can anything be done without losing the data on the HDD?",system settings,,desktop support,askubuntu,
478,Whats the .local folder for in my Home Directory,"What is the
~/.local
folder good for and is it safe to remove the content within this folder?",general usage,,general support,askubuntu,
479,Really verbose way to test Git connection over SSH?,"When using GIT, I have
problems with using GIT over SSH
, and since it works just fine both from work, and at home with a different modem, it's obviously my home modem that is acting up. I have no problems connecting over HTTP.
So, I'm assuming it is an SSH problem, but I'm no expert at using it directly. Is there any command I can run which sets up a ""test"" connection, and lets me know exactly when and where along the line the problem occurs?
Pretty much all ""larger"" commands (such as
fetch
,
clone
, or
push
with much data) from
git
(even when run with
-v
) just ""hang"" in the middle of connecting remotely with no indication as to why they have stopped, so they are of no use.
Is there any way I can get more details on what is happening in the SSH connection?",general usage,,general support,askubuntu,
480,Not able to execute a .sh file: /bin/bash^M: bad interpreter,"I wanted to execute a shell script:
-rwxr-x--x 1 root root   17234 Jun  6 18:31 create_mgw_3shelf_6xIPNI1P.sh
I tried to do a standard procedure, but I got this error:
./create_mgw_3shelf_6xIPNI1P.sh 
localhost 389 -l /opt/fews/sessions/AMGWM19/log/2013-06-06-143637_CLA-0 
DEBUG   cd/etc/opt/ldapfiles/ldif_in ;
./create_mgw_3shelf_6xIPNI1P.sh 
localhost 389 -l /opt/fews/sessions/AMGWM19/log/2013-06-06-143637_CLA-0
**ERROR  sh: ./create_mgw_3shelf_6xIPNI1P.sh: /bin/bash^M: bad interpreter: No such file or directory**
What does it mean? I was doing this as the
root
user under the
root
group.
Does it mean that the file does not have the correct permission for the
root
user?",general usage,,general support,askubuntu,
481,Difference between the i386 download and the amd64?,"What is the difference between standard i386 download and the amd64 download of Ubuntu 11.04? I am currently running the i386 on an amd machine, would my system work better with the amd64 download instead? (my machine was running Windows 7 64bit, but I neglected to look at that prior to installing Ubuntu).",general usage,,general support,askubuntu,
482,How can I update Visual Studio Code on Ubuntu?,"I downloaded the .tar.gz version of VS Code for Ubuntu (64-bit) and have been able to run it smoothly for some time. Some extensions have been installed too.
How can I efficiently update this VS Code installation? One thing I can think of is to just download the new .tar.gz archive and extract to the same location, just keeping the old ""extensions"" folder.
If I use the .deb version, would the same process be needed? Would I download the new .deb every time there is an update?",package management,,system support,askubuntu,
483,What commands (exactly) should replace the deprecated apt-key?,"Setting up keys for a local repository on a new ubuntu 20.10 virtual machine, I got a message that apt-key add was deprecated and I should read the
apt-key
(8) man page. The
apt-key
(8) man page is a collection of words strung together, but if it contains information I can't winkle it out. Can anyone tell me what, exactly, I should type on my terminal instead of:
apt-key add name-of-file
The command does apparently still work after honking at me, so I was able to proceed, but would like to know what I'll need to do in the future.",package management,,system support,askubuntu,
484,How can I create a select menu in a shell script?,"I'm creating a simple bash script and I want to create a select menu in it, like this:
$./script

echo ""Choose your option:""

1) Option 1  
2) Option 2  
3) Option 3  
4) Quit
And according to user's choice, I want different actions to be executed. I'm a bash shell scripting noob, I've searched the web for some answers, but got nothing really concrete.",general usage,,general support,askubuntu,
